00000072d51c f670488a95da 00000092211c f671f48a959a
00000075e064 1cb7d90b3407 000000a57b64 1cb10a0b3497
000000174f6e e34101b3c846 000000673e6e e3421eb3c866
0000002a408b 16229c859ae1 000000fa8f8b 1627f6859a81
00000120c07a 0ce31b05296d 000001d05d7a 0ce98d0529ed
000001a1afe4 d862fbbf72df 000001d145e4 d867b5bf725f
00000106a10a 4320a8901da0 000001e6e90a 43246a901d90
00000116f53b cb337fb15765 000001a60a3b cb3b0ab15705
000001be0d51 cace0f2a53bc 000001ce1551 cac6442a539c
0000024249f7 cf21964deb6c 000002e200f7 cf254b4deb2c
00000245ba6d 7da937c6eff9 000002d5836d 7dab8cc6ef99
00000312bc7d 9fb0cae2528e 00000382677d 9fb56fe2525e
000003773674 a9a4b53083f1 000003878e74 a9a134308361
000003196c85 221f3d6d382d 000003a9ff85 2215a96d38cd
00000457b3f0 b2901114b0e7 000004c7a9f0 b29f9f14b057
0000040ae48e 363d18a43e7b 0000049aac8e 3631eda43e3b
0000041ed7c8 dcc4699d605a 0000044e0bc8 dccde59d606a
000004cf97b3 dcf929ec6ad6 000004ff7cb3 dcf6f4ec6a46
000005617676 da39ed4e1d05 000005d13c76 da31034e1dc5
00000527dd31 17c6c4363059 000005471531 17c0b63630e9
0000050808b3 ce4e5c1f9df0 000005f8ceb3 ce4b941f9d70
000005db269d a9517adfb899 000005fb869d a95e1edfb819
0000057c21f5 fe57394b62dd 000005ac7af5 fe56a24b626d
0000057e4828 632c1cea60e3 000005fe6328 6327a4ea60a3
0000052eba7a d35be1e554ff 000005cec47a d35785e5540f
000006807f15 7ba5b4876b8e 000006b04715 7baad5876bfe
000006037281 8e1fb47b2ceb 000006b3b881 8e1cc97b2ccb
00000654bb13 5e5adc07cacc 000006741f13 5e51ed07caec
00000605e89d c4cddad99cfd 000006a5699d c4c758d99c7d
000006186125 65d41b2b28e7 000006787725 65dc9f2b2837
000006a9ff4d 6514840432a3 000006b9c14d 65192c043273
0000062f7a13 4afe209b81ec 000006af5613 4af9e69b813c
0000060f5637 178dcf3f5203 000006bf6d37 178ca43f5253
00000791dda7 9fbe5ca26fb2 000007b1a2a7 9fbb8fa26f72
000007842042 5bad714eb346 000007d43642 5bab534eb3b6
000007d51f64 1c8a371706f1 000007e51264 1c8590170601
000007397969 94e04ea91014 000007a93669 94ee1aa91074
00000872f41b 834b0e1c94bd 000008a2a91b 83434b1c94ed
000008339a91 5cfc32a656fa 000008531491 5cfdefa6563a
0000083a7bda fd6225bf6cfc 0000088acfda fd61c6bf6c0c
0000080b8746 a990c5341b91 0000084b9146 a99417341b61
0000083b0249 35b28fd78ec7 000008cb5f49 35b9d0d78ef7
0000084fe2d6 07fddcd08603 0000088fc2d6 07fa2dd08633
0000095130d8 923c2c66a0f9 00000961f5d8 92360966a009
000009c3739e 8246445fd633 000009e3989e 824cb95fd663
00000915137b 1bb7536f4ec8 000009b57d7b 1bb42b6f4ed8
00000997b737 57239856ebc8 000009c71e37 5722dc56ebe8
00000999c408 012330b68c33 000009d9aa08 0126f4b68c23
0000092a5ad6 7219e09f5389 000009da41d6 72182a9f5319
000009bab7d8 057002d36eb0 000009faddd8 057589d36e20
0000095b3a75 5ef832edd79f 0000096b2075 5ef106edd7cf
0000098d3173 c430b2a357a9 000009ed0173 c43ea5a35779
0000090f1949 9c4d73a7d598 000009df9549 9c40d8a7d558
0000095f65c2 6698c593ab12 000009bfb1c2 66920093ab02
00000ac00691 9be86880725f 00000af0f291 9be33b80720f
00000a347e38 89fc89df9f36 00000ad4a338 89f742df9fa6
00000a45a7e8 16da4d1c2ea4 00000ac5c2e8 16d93f1c2e34
00000a65f3fe e977aaf3cb9e 00000af521fe e9785ff3cbde
00000a27261b ea1262b7a1b9 00000af7f31b ea1cb9b7a1f9
00000a0bbe5a 68290b7336f8 00000a6bcc5a 682c98733648
00000a2d3f38 e802e5fad5c6 00000aed9b38 e80970fad546
00000b90af80 03fdd6b5d69d 00000bc04180 03f27db5d63d
00000b13140f b44cfe1c8bb4 00000bc3380f b44f091c8ba4
00000b95ff44 7afbf4df1cdd 00000be5df44 7af49adf1c1d
00000b098a0a 1d87f0afa6c7 00000ba99b0a 1d830fafa627
00000b0b0ae7 632e80b1b528 00000b7b7ce7 632b6db1b538
00000b7e3f3d b12268762550 00000bbe3f3d b128c5762500
00000c35a91a 11d5f1d1489b 00000c45801a 11d46ad148cb
00000c36c44e a4c95e631f60 00000ce60b4e a4ca7c631ff0
00000c38d58f 5c6664a1e69a 00000ca8f88f 5c65e3a1e64a
00000c8e1c63 0ef5b5fcdc84 00000cae8463 0efd49fcdcc4
00000d00829e ccf08c207309 00000d50629e ccfe542073d9
00000da03cfa 22480c834747 00000db0f1fa 2245a18347d7
00000d3551da 9823881d8cf4 00000d45a0da 9827fb1d8cb4
00000d167b0e 726ae4d83c23 00000d66d80e 7267f3d83cc3
00000d38e65f a879f8dc0747 00000dd8ba5f a87549dc07e7
00000e22ec56 70d1476d3ea5 00000ef27e56 70dae16d3e65
00000e65df46 7b12a80d3841 00000ea53946 7b1b6f0d3811
00000e95f3fc 346908c9d956 00000ea590fc 3464ffc9d9e6
00000ea971f7 271c1027b1e2 00000ef96ff7 27186d27b182
00000e4db7d8 19de8d9c9e5f 00000e7dbdd8 19d5e49c9eff
00000e2ebfdd abf2aa46af89 00000efea6dd abf79d46af49
00000f158454 ed3b1d3e65ea 00000f650a54 ed3a293e652a
00000f16602a 3a80032c3f94 00000f76092a 3a8fc72c3fa4
0000104651fb fe7643a3df42 000010a664fb fe7bfaa3df32
00001047ad55 5743d9dd84ca 000010d71055 574ce4dd84fa
0000107894d8 3246d744935a 000010e859d8 324e604493ba
0000103aca15 d9638b5533e5 0000106a5f15 d962a85533b5
