0000004133ce ddb956b8b8f6 000000f129ce ddb332b8b856
00000053220e d526deffb9ec 00000083900e d525abffb9ac
000000959f35 da00bb3adbe7 000000b52335 da02643adbd7
000000388fa7 ab6ddd72fc59 000000b814a7 ab68ef72fc69
0000001b6237 0ed62f883be1 000000fbe937 0ed50b883b41
0000007d8e97 cabc71538b35 0000009d0b97 cab387538ba5
00000124e029 0ab28866906b 000001b4b229 0abbab6690fb
000001658ce3 771efa153a7c 000001f53ee3 771164153afc
00000116134d 0a7466c47c23 00000186af4d 0a761fc47c13
0000011ae9c9 85d4284b32ad 0000014a8ac9 85dc5b4b32cd
000001cb851d b9390e8a4271 000001dbb21d b931808a42d1
0000014cce51 8b50c182907f 000001acb151 8b57598290ef
0000017f01ae 92a0bf89c58b 000001ef09ae 92a18789c5ab
000002414229 94dd8b80f99f 000002d19f29 94d23480f9ef
0000023113af c03bcf51f410 000002f137af c0370151f4d0
000002453664 a1e867536543 000002b56a64 a1ef54536583
0000024a8fba 63fa1b259851 000002aa30ba 63f9dd259821
0000026f8bfd 602ddda1fa05 0000029f69fd 6029f6a1fa15
000003118b31 125dd6e19468 000003713f31 125bace194d8
00000313861b 324839230f6b 00000333a81b 324522230f9b
000003469378 42116e651cbc 000003d6d778 421b04651c4c
00000366e0bc 4882d4e6dbbd 000003b667bc 4889b7e6db4d
0000034f5466 85ee2cb846c3 000003ef4d66 85ea37b84673
00000430a137 4d6b254261d0 000004605e37 4d60e8426190
00000443b903 13bf03840c9c 000004c39d03 13b347840c7c
00000473cd19 d191aaa8d588 000004a3a919 d19db6a8d508
00000424ee9f 5bce4a1192f8 00000464dc9f 5bc055119288
00000436fd64 e8da5b9380ce 00000476c064 e8d09193801e
000004282786 bc414636913e 000004482786 bc482d3691ce
0000045c0aa5 4fec8a2cfe22 0000048c02a5 4fe2ed2cfe52
0000042e444f a9d97ee8553c 000004fe424f a9d5d0e855bc
0000044f3402 1ec012acdb9e 0000049f3502 1ec5fbacdbce
000005482ae2 7d6b79e2de45 0000055846e2 7d6c3ce2de75
00000539671c 2179ba7d356f 000005592d1c 21765f7d35ef
00000569e6b9 1a91c8cec02d 000005e93bb9 1a9aadcec05d
000006790494 ca262a1ce2a3 000006c9a394 ca2de51ce243
0000061a2ebd 5f79ae32b7c9 0000064a6cbd 5f7ecd32b769
0000060db137 9f2b8d72c07d 000006dd8737 9f22e472c05d
0000063e1f65 afcb0a55c5ee 000006ce0665 afcc5955c55e
00000781b45a a6c94e3c7743 000007b1f95a a6c66c3c7773
000007338f07 b17d3d14fc5f 000007e37e07 b17f9014fc1f
00000743ff67 024493f99950 000007633a67 024fb6f999d0
0000078397cf 85bcd38146fb 000007a394cf 85ba3a81462b
000007347c0d 3b4f42f05b3d 000007e4900d 3b4d97f05bfd
00000754724a 259b29912cae 000007f45e4a 259e90912cee
000007163cdb 8c514d4e6ced 00000756ebdb 8c59d84e6c0d
0000073c4eb8 6e798056f158 000007bc28b8 6e7c6a56f108
0000072fad36 b3ed9393aa7e 000007ef0936 b3eae493aa8e
000008d1ffb5 c22f4e61b605 000008e160b5 c22bd561b6e5
000008439b08 855b5b3bac3b 000008d37208 85599e3bac8b
000008653055 04ce8b7450ae 000008a55b55 04c2707450de
000008195671 d5dc78807a02 00000829fb71 d5d68b807a52
0000083a4c73 962a4339ebe3 0000087abc73 962c8f39eb93
0000082b37cc 7fae843caeed 000008dbabcc 7fa3aa3cae9d
0000087dccd1 dc5af9af9f22 000008ed00d1 dc52b2af9f32
00000941b285 e001d51bcf22 000009f13685 e00f961bcfd2
000009a6cc71 14abf6bec1f9 000009f6a071 14ac63bec1b9
0000094b69e4 4dcef2d7fd2c 000009db08e4 4dc3c4d7fddc
0000091d659a d349b5a75da9 0000094d999a d34c9ba75d09
00000a821cff 1655278e9bc1 00000ac295ff 165b618e9b61
00000a16283e e0d2f674edf4 00000aa6e53e e0dd7574ed44
00000a26e666 55cab5d33d64 00000a46ab66 55cf5fd33dd4
00000a5be8e9 f956088f7dfd 00000a8ba2e9 f95c458f7d9d
00000b14b771 6a7d7679c5c2 00000b642e71 6a75a879c552
00000b049099 8cd1ba058b9c 00000b747999 8cd3c5058bdc
00000b542b9a 1cdf437113a7 00000ba4c59a 1cd301711367
00000b15fc93 793011a4e117 00000bd5ae93 793976a4e1e7
00000b58ad0e a075e7e27287 00000bc8670e a07d98e272b7
00000b796f02 072bb6782cc8 00000b892702 072427782cb8
00000b5b7bdd 644de414124c 00000bab1ddd 64495d14126c
00000b5d0072 636e09674fcd 00000b6dee72 636f25674ffd
00000b0ec506 70caa21d2e93 00000b7ebd06 70c6ca1d2e73
00000b0e405d b846eb5249a0 00000b4edb5d b84a7c524960
00000c4cdf80 2f5d54b10e1b 00000cdce380 2f5ac5b10e5b
00000c6e4bad 8b4a49ba1363 00000cee25ad 8b489fba1323
00000d548865 a7d676a757cb 00000df4cd65 a7df94a7573b
00000d461a8b 62241e618db6 00000d86358b 6229a6618dc6
00000d5633bb 2cc0327d905f 00000d9692bb 2cc3987d90cf
00000d2879ea e67c040ca65c 00000d480dea e670a20ca63c
00000d5aed2f 53ce1e081b60 00000d6a812f 53cc32081b10
00000dcb15b4 06ef178ac03d 00000ddbd4b4 06e02d8ac0ad
00000ec2c09f 11cb926029f4 00000ed2fa9f 11cc44602924
00000e95a301 32c75785bbf5 00000ec5bd01 32c9e385bb75
00000e270f3e 5b7763473812 00000ec7023e 5b752d4738c2
00000e3ea4af 3fa5957fd61c 00000efef1af 3faa7a7fd63c
00000fb2700c fef97b32f675 00000ff24a0c fef46f32f6f5
00000f3bc61d 91f8a6faf388 00000fbbc31d 91f4f4faf328
00001081fe44 4e2373a1970e 000010a1ce44 4e2e45a197fe
000010232dbf d1860543b818 000010a36cbf d18b6f43b8a8
000010a9482f a1b1eda38b71 000010f9b02f a1b2caa38b51
000010bb98c9 665fe8d160d8 000010fbebc9 66580fd16038
00001141ed37 d4017413e6bd 000011519b37 d4024013e68d
00001152522d c0d94b5f0db0 000011e2b72d c0d4f55f0dd0
000011965242 f58924a98b5e 000011f69342 f585e7a98bce
0000111799d6 214b918a4438 000011e72cd6 214d838a4458
000011299344 8fb16ba701c1 000011d9f544 8fb5dca70181
0000117a9bd3 35532e13ae64 000011ca92d3 355d3c13aec4
0000118b15b4 97ae769be9e3 000011fbffb4 97afeb9be9a3
00001262cc3a 4577a5b29534 00001292b13a 4570b1b29564
00001253868f 43a798db0c12 000012933f8f 43a5c7db0cb2
000012649cee 1a30e7691e4c 000012a431ee 1a328e691e2c
00001227bf33 ac8e6d8f527d 000012470f33 ac838b8f529d
000012cef466 512d002dd4dd 000012ee4566 512c312dd4fd
0000127f941e af2861376990 000012ef511e af291a376910
000013d03763 625e6e921c96 000013f00763 6258d0921c86
00001342f95f 9e938b8e507c 00001372b45f 9e9ac78e50dc
000013d7f5c8 6613f26f9d87 000013e7d4c8 661d3a6f9d07
000013595393 7579be75cc86 000013b99b93 757c2d75cc66
000013aa873d d43b59258d3f 000013fa323d d43307258d1f
