00000042cdc8 e4dec247fee7 0000006226c8 e43ec24656e7
000000142004 d60b4b3b0201 000000e4aa04 d64b4b3a2401
00000024298a 09567d5389cb 00000074c78a 09667d5406cb
00000077f16a 0784a496fbb4 000000c72d6a 0754a4947eb4
00000037bff7 7e6c22611ead 000000e7b0f7 7e1c22606bad
000000b8b3c6 9519bb78eeeb 000000d88ac6 9559bb7152eb
000000596473 0ff87afbfc0e 000000a93d73 0f287af9590e
0000004edb38 a8bc475ae014 0000007e7138 a8ac4752bb14
000002906fbd 144dda228192 000002a026bd 147dda219092
000002021eee 02a944ca07f9 00000292aaee 020944c128f9
00000223c7da fdadbbf075c0 00000243f4da fd9dbbfba4c0
000002551628 a41aa71d16dd 000002f5c228 a49aa714fcdd
00000247f1b0 476c168b542a 000002f779b0 47dc168ab22a
000002191297 f7fb38a79102 000002c99497 f78b38a5b302
0000021d57e2 3b2a3fe5708d 0000028d0ae2 3b6a3fe95e8d
0000021ef5ed e3c902482623 000002fedced e3b902407923
0000024fc85a e1178e8a5351 000002efc75a e1978e813651
0000023fa2e4 e1f139b9f224 0000025f6de4 e15139bda624
000003055d51 ec89fab6c73c 000003253051 ec39fabf833c
0000032ad0fb 7eb2121bcc48 000003bad7fb 7e02121a4d48
0000032b8e92 3fb86b290a92 0000036bf392 3f786b238492
00000482f2ac 494a9971e1f7 000004c285ac 490a997d27f7
00000423bfb2 4cc1508232b6 000004e340b2 4ce1508ba3b6
000004283dde 1a81a36420af 00000458cfde 1a31a36acfaf
0000048be1ca bd91926c1cad 0000049b48ca bd81926445ad
000004bb4af9 ca42e1f86156 000004db7af9 cab2e1fabd56
0000044ca13d fd178b78eacc 0000045c8c3d fd578b7fbbcc
000005327fb3 2b00e00557ab 000005c2b3b3 2b60e00cbcab
0000056295ec 3f0e32be3e8c 000005f263ec 3f4e32b5b38c
000005573e0f b3f0dfd761a2 00000597200f b390dfd016a2
0000051839fd 108de98606f1 0000053837fd 105de98e3af1
0000054a0ea8 3f76746196de 0000056a45a8 3fa6746961de
0000050d3c51 06e39d6d6769 0000056d7951 06939d611269
000005ad7580 0feacb7f2bcb 000005ed8280 0f9acb7018cb
0000050f3dd8 dda435a230a5 0000058fdbd8 dd5435a962a5
00000662c969 b4ac12dc4559 000006a2eb69 b42c12d26459
000006a2b4a3 5e099adc0a81 000006e20aa3 5ee99add8d81
000006287209 d6621d204813 000006780909 d6921d2e6413
0000061a7709 c150b7867265 0000065a9b09 c1c0b78aa465
0000060b5153 b9e40965d370 0000064bed53 b92409628770
0000060c909c ab21242b1bc1 0000067c719c aba12429d3c1
0000062c9dbd 3673a3aab8a3 000006ecbfbd 36d3a3ae8aa3
0000061d63a0 365d3648da27 0000065d87a0 36bd364e3c27
000007d4c86d da356cfa6dee 000007f4286d da256cf4b9ee
000007949ec3 479975ffc7f8 000007e499c3 47a975f2aef8
000007653064 31f62b69a09b 000007a5e164 31162b67d89b
0000071751c0 7cc4587f1702 0000076746c0 7c34587b5202
0000071757fa ca06d6bf1b36 0000073799fa cad6d6bcc436
0000076a491c d54002b03536 000007fa911c d50002bdc636
0000071aeb5f 84ae048282d1 0000073afb5f 847e04833fd1
0000077cfe64 1e92c6d4213b 000007dcce64 1e52c6d5493b
0000076d6169 56fc627a6105 0000079dfe69 568c6271b005
0000070f5953 8bd4e46cadf9 0000074f2d53 8b14e467e3f9
00000872c07a 5a006d7aab51 000008b2497a 5a406d718651
000008069cd8 ba40a765a25e 000008c633d8 ba90a76ae85e
000008089b74 d44e88bd9284 000008981b74 d4ee88b00d84
00000848b1d6 30b7ab185756 000008d834d6 3077ab1ed856
0000080d816f b08d102991ba 000008bd346f b0fd102000ba
00000950ebde c8fef2e733fd 00000960aede c84ef2eea2fd
000009d6ddde 268708e71c8f 000009e617de 26c708e9d58f
00000938da07 9be4c62c2b33 00000998df07 9b94c622b233
0000097c6ab4 bc48288f3f77 000009bc6ab4 bcb828851e77
000009afde3d c81067377fd9 000009ff0d3d c86067384ed9
00000ae7aa8e d58d98c8fcd8 00000af7428e d59d98c544d8
00000a9e257e 104acb8a52da 00000ace987e 102acb879eda
00000aaf9417 8240872e1064 00000acf3417 82208721f664
00000a3f667e 8cf635e69186 00000a8fb87e 8c7635e95f86
00000bb7b8fb 36ab2c98d279 00000be772fb 360b2c9e7b79
00000b0a30a8 80db539d4610 00000bcaf8a8 801b539f3e10
00000b7a66c6 161b20d8d25e 00000b9a08c6 167b20df175e
00000b4bde00 83e25bf3e489 00000b8bbd00 83b25bf64789
00000b2cb23d 6c4a944f02d5 00000bac723d 6c2a944bbfd5
00000cd0635b e9da0673578a 00000ce0815b e9ca0671288a
00000c34237a c546b4d87205 00000c44727a c5d6b4d59805
00000c641e94 e28dec957640 00000cc45994 e24dec91ea40
00000c645bee d0f8c835fbb0 00000cc468ee d0d8c83f4cb0
00000c0bcb08 6d3975a14b24 00000cbb3208 6d1975a6ed24
00000c8c545b cb579e3a62f0 00000cec2e5b cb379e3db3f0
