00000034c4da ce061e02aa95 000000544cda ce561e0f6995
000000958114 a8ed87f7a708 000000c53e14 a83d87fb0e08
000000463472 b2c9521f33d1 000000969872 b249521c5bd1
0000000d38ec dec90e9d5017 000000ad79ec de890e913117
000001010e79 e918bd0d6a2e 00000141ab79 e928bd0f952e
000001233871 59388a737537 000001c30071 59688a79ca37
00000126ff6e 7c48a2bba61e 000001f6056e 7cd8a2b1451e
000001078fba 2cb23bf6c989 000001a743ba 2c123bf3ab89
000001388ee3 f77256971815 00000148f0e3 f702569d3b15
0000019a46df 297d9d2c9eb7 000001cadbdf 290d9d23d3b7
0000016d17e6 8231e7f58ebe 000001bd29e6 8291e7f294be
000002944bd3 da2b20edffce 000002f410d3 dacb20ea38ce
00000214f7fc dee1c6f8b30d 0000026412fc deb1c6f7af0d
00000227dc0a 27e76ba0b236 000002f7e70a 27976ba5c536
000002179df2 393bb07644bd 000002c7a1f2 39ebb071f2bd
000002be0677 ce68a1eb7589 000002ceb777 ce78a1e5d289
0000038a8a66 a7844b7d286f 000003fa7d66 a7144b79f66f
0000033c5c64 3947ec113d48 0000037cbd64 3907ec1aa648
0000044117a9 a65b80c9f4c3 0000048114a9 a63b80c4b2c3
00000413212c 6c9cae43ee0d 000004d3d32c 6c8cae4a4f0d
000004042fc1 29c579d84659 0000044433c1 295579dfcf59
0000041b328e 0290c6cb83d2 0000044b368e 0230c6c1edd2
000004dd8204 9319b5c2f92c 000004fdf804 93f9b5c6e32c
0000049dd459 71b278912911 000004ddbc59 7122789fa411
0000048f8847 bfded351a21c 000004cfd047 bf9ed3585e1c
0000044fe897 7b4d5460b9d6 0000045fd297 7bfd546814d6
000005136989 ff4e5fda3d0e 000005433089 fffe5fd2140e
000005343601 71dbeab03c9b 000005c4b901 716beab41e9b
0000055558bc 71d844c2fad2 000005d5b6bc 713844c72cd2
00000527ba19 4763d12f2715 000005c78c19 47f3d12c0a15
0000053712c4 60528778b7a2 000005d764c4 6042877fc6a2
0000057b95fb 03b2469438e3 000005eb64fb 03d2469b7ee3
00000671c183 95e8e579765c 000006a14483 9598e5738f5c
00000606f3e9 5cbf6c651bf5 0000065653e9 5c3f6c6faaf5
0000060f9f01 c39b6adff0d3 000006ef9501 c3eb6ade18d3
0000063ff415 9fea3feb939d 0000069fcf15 9f6a3fe5c19d
0000064f033a 208ea0f3118d 000006cffb3a 205ea0fddb8d
0000078508d4 e9e266fbb58b 000007e540d4 e94266fd0a8b
0000070bb375 1ecf29db939a 000007fb2575 1e0f29d9ff9a
0000074d161e ccf5b1cd1e26 0000079d701e cc15b1c67726
0000078d72fd 15517bfac59f 000007cdd9fd 15217bf68f9f
000007ef9a99 f013e96dc9e2 000007ff3199 f0a3e9615fe2
000007bfdcc6 8b3db9b22fbb 000007ef0dc6 8b4db9b99dbb
000008e2ad22 779374777e1e 000008f21322 77b3747fe71e
000008041a23 6a4942ed95c7 000008e4dd23 6a7942eff4c7
0000081403e3 e2ee40fbcf95 00000884fae3 e27e40f3b895
0000080747c7 8a0c40bba787 0000087782c7 8a1c40b93487
0000087a7718 f7cead3eacc3 000008da5518 f73ead31dbc3
0000081cb046 6eaf9bf7a38d 000008ec5046 6ebf9bf09b8d
0000081f5e6b fb63ccd36ee6 0000089fe66b fb33ccd8e1e6
0000094175a2 42d41a7ff163 00000971a3a2 42741a77d263
00000902af9a a5dbbc8c5901 00000952df9a a51bbc8d0501
00000964c75b 2f0dc8b92bd7 00000984b65b 2f7dc8b39dd7
00000938e213 0cdde8660ddc 000009f8d813 0c6de868e7dc
0000098a6000 95d9c746cbea 000009fa1c00 9599c74058ea
0000096c1ba5 6c0657740d8e 000009cc9da5 6c465772818e
00000a858308 28cc83f78513 00000ac58608 286c83f00f13
00000a3997d0 8b23a9ce2a53 00000a7946d0 8b63a9c90f53
00000a0b73ff 48590a4d71c5 00000adbd7ff 48390a4942c5
00000b11fc8c 1f50c38fb5e9 00000bf1cb8c 1f70c38220e9
00000b33bbe5 58f96ffcad09 00000bd31ae5 58d96ff49609
00000bb61c4b 3ab5a4bd5721 00000bf60b4b 3a25a4b6a121
00000b36c0c3 af74c7d30cd3 00000bb6ecc3 afa4c7dc87d3
00000b5d3499 776d57bf6011 00000b7d4599 777d57b55c11
00000c333abe b7efc9dc30bb 00000c73b1be b72fc9dd8ebb
00000c2548b7 076983a251dd 00000cd5f4b7 070983aac0dd
00000c4b012e 4695ac1dc705 00000c5b3a2e 46f5ac1c1a05
00000c5cce52 053870436165 00000cfcfe52 05a870491b65
00000cdfb2a0 147bfddcbfeb 00000cff1ba0 145bfdd36aeb
00000d35377b a3bda3ddf634 00000d95257b a3cda3d18c34
00000d560a15 ce53ca6ae4ef 00000de60115 ce03ca69c3ef
00000d2b48a9 68097bd02727 00000dcb0ca9 68297bde1427
00000e50747a 0afa5a9df2ae 00000e70fd7a 0a8a5a9455ae
00000e918a8e 6fc7221180d2 00000eb1f28e 6f27221415d2
00000ec186ee 2bd2a82b6bef 00000ee126ee 2bb2a822a1ef
00000e63c67f d93550216763 00000e734e7f d9d55027ac63
00000eb8d797 7d7a42bbd47e 00000ee84b97 7d5a42bd317e
00000e9977d7 8ade649a5428 00000ec9aed7 8a0e6494a928
00000e5d6b2e a9d896eca60e 00000e9d002e a93896e0da0e
00000f40e100 f5839f28a2b7 00000fe00400 f5939f26c9b7
00000f0311fe e30f4a3df3fc 00000fb355fe e3ef4a3e7dfc
